#file_name	sample_id	sex	age	..filter..
A2-i140.txt.gz	A2-i140	F	73	ds:10000
A2-i141.txt.gz	A2-i141	M	71	ds:10000
A4-i189.txt.gz	A4-i189	M	25	ds:10000
#the following sample is a replica of previous one
A4-i190.txt.gz	A4-i190	M	25	ds:10000
A4-i188.txt.gz	A4-i188	F	61	ds:10000
A2-i129.txt.gz	A2-i129	M	11	ds:10000
A4-i186.txt.gz	A4-i186	F	61	ds:10000
A4-i195.txt.gz	A4-i195	F	21	ds:10000
A3-i107.txt.gz	A3-i107	F	39	ds:10000
A4-i122.txt.gz	A4-i122	M	85	ds:10000
A4-i194.txt.gz	A4-i194	M	20	ds:10000
A3-i106.txt.gz	A3-i106	F	43	ds:10000
A4-i191.txt.gz	A4-i191	F	22	ds:10000
A4-i124.txt.gz	A4-i124	M	66	ds:10000
A4-i107.txt.gz	A4-i107	M	39	ds:10000
A4-i192.txt.gz	A4-i192	F	24	ds:10000
A4-i125.txt.gz	A4-i125	M	64	ds:10000
A4-i106.txt.gz	A4-i106	M	43	ds:10000
A4-i127.txt.gz	A4-i127	M	90	ds:10000
A4-i128.txt.gz	A4-i128	F	62	ds:10000
A4-i102.txt.gz	A4-i102	M	37	ds:10000
A3-i101.txt.gz	A3-i101	F	36	ds:10000
A4-i101.txt.gz	A4-i101	M	36	ds:10000
A3-i102.txt.gz	A3-i102	F	43	ds:10000
A2-i139.txt.gz	A2-i139	M	75	ds:10000
A3-i145.txt.gz	A3-i145	F	86	ds:10000
A2-i138.txt.gz	A2-i138	F	74	ds:10000
A2-i131.txt.gz	A2-i131	M	9	ds:10000
A2-i132.txt.gz	A2-i132	F	6	ds:10000
A2-i136.txt.gz	A2-i136	M	10	ds:10000
A2-i133.txt.gz	A2-i133	M	16	ds:10000
A2-i134.txt.gz	A2-i134	M	16	ds:10000
A4-i183.txt.gz	A4-i183	M	87	ds:10000
A4-i184.txt.gz	A4-i184	M	61	ds:10000
A4-i185.txt.gz	A4-i185	F	61	ds:10000
A4-i110.txt.gz	A4-i110	F	43	ds:10000
A4-i132.txt.gz	A4-i132	M	87	ds:10000
A3-i110.txt.gz	A3-i110	F	34	ds:10000
A3-i150.txt.gz	A3-i150	F	87	ds:10000
#the following sample is a replica of previous one
A3-i151.txt.gz	A3-i151	F	87	ds:10000
A4-i118.txt.gz	A4-i118	F	89	ds:10000
