# 2
# 7
pos	unwt	wt
-7	6.661484e-04	4.969965e-04
-6.5	2.154686e-03	1.436694e-03
-6	5.845091e-03	3.511817e-03
-5.5	1.332682e-02	7.624702e-03
-5	2.586417e-02	1.505454e-02
-4.5	4.456489e-02	2.794098e-02
-4	6.983724e-02	4.913465e-02
-3.5	9.913621e-02	7.976974e-02
-3	1.270954e-01	1.166962e-01
-2.5	1.485377e-01	1.537248e-01
-2	1.613228e-01	1.850292e-01
-1.5	1.667353e-01	2.054815e-01
-1	1.671752e-01	2.108031e-01
-0.5	1.637894e-01	1.999189e-01
0	1.562721e-01	1.764592e-01
0.5	1.441522e-01	1.482253e-01
1	1.276963e-01	1.218442e-01
1.5	1.084490e-01	9.808052e-02
2	8.840289e-02	7.544367e-02
2.5	6.875496e-02	5.424554e-02
3	4.978266e-02	3.536574e-02
3.5	3.207937e-02	2.000912e-02
4	1.757951e-02	9.575709e-03
4.5	8.005986e-03	3.900203e-03
5	3.072727e-03	1.393621e-03
5.5	1.044496e-03	4.576403e-04
6	3.181196e-04	1.377419e-04
6.5	7.924924e-05	3.421721e-05
7	1.428670e-05	6.165308e-06
