species	gene	segment	segment.id	segment.fam
human	TRA	J	TRAJ10	TRAJ-F1
human	TRA	J	TRAJ40	TRAJ-F1
human	TRA	J	TRAJ44	TRAJ-F1
mouse	TRA	J	TRAJ11	TRAJ-F1
mouse	TRA	J	TRAJ53	TRAJ-F1
mouse	TRA	J	TRAJ58	TRAJ-F1
human	TRA	J	TRAJ23	TRAJ-F10
human	TRA	J	TRAJ27	TRAJ-F10
human	TRA	J	TRAJ31	TRAJ-F10
human	TRA	J	TRAJ37	TRAJ-F10
mouse	TRA	J	TRAJ32	TRAJ-F10
mouse	TRA	J	TRAJ37	TRAJ-F10
human	TRA	J	TRAJ24	TRAJ-F11
human	TRA	J	TRAJ7	TRAJ-F11
mouse	TRA	J	TRAJ33	TRAJ-F11
mouse	TRA	J	TRAJ38	TRAJ-F11
human	TRA	J	TRAJ26	TRAJ-F12
human	TRA	J	TRAJ28	TRAJ-F12
human	TRA	J	TRAJ29	TRAJ-F12
human	TRA	J	TRAJ30	TRAJ-F12
human	TRA	J	TRAJ50	TRAJ-F12
mouse	TRA	J	TRAJ35	TRAJ-F12
human	TRA	J	TRAJ33	TRAJ-F13
human	TRA	J	TRAJ38	TRAJ-F13
mouse	TRA	J	TRAJ40	TRAJ-F13
mouse	TRA	J	TRAJ5	TRAJ-F13
human	TRA	J	TRAJ52	TRAJ-F14
human	TRA	J	TRAJ53	TRAJ-F14
human	TRA	J	TRAJ54	TRAJ-F14
human	TRA	J	TRAJ57	TRAJ-F14
human	TRA	J	TRAJ6	TRAJ-F14
mouse	TRA	J	TRAJ49	TRAJ-F14
human	TRA	J	TRAJ11	TRAJ-F2
human	TRA	J	TRAJ41	TRAJ-F2
human	TRA	J	TRAJ45	TRAJ-F2
mouse	TRA	J	TRAJ12	TRAJ-F2
mouse	TRA	J	TRAJ18	TRAJ-F2
mouse	TRA	J	TRAJ24	TRAJ-F2
mouse	TRA	J	TRAJ45	TRAJ-F2
mouse	TRA	J	TRAJ6	TRAJ-F2
mouse	TRA	J	TRAJ9	TRAJ-F2
human	TRA	J	TRAJ12	TRAJ-F3
human	TRA	J	TRAJ32	TRAJ-F3
human	TRA	J	TRAJ4	TRAJ-F3
human	TRA	J	TRAJ46	TRAJ-F3
human	TRA	J	TRAJ8	TRAJ-F3
mouse	TRA	J	TRAJ13	TRAJ-F3
mouse	TRA	J	TRAJ15	TRAJ-F3
mouse	TRA	J	TRAJ34	TRAJ-F3
human	TRA	J	TRAJ13	TRAJ-F4
human	TRA	J	TRAJ34	TRAJ-F4
human	TRA	J	TRAJ5	TRAJ-F4
mouse	TRA	J	TRAJ16	TRAJ-F4
mouse	TRA	J	TRAJ52	TRAJ-F4
human	TRA	J	TRAJ14	TRAJ-F5
human	TRA	J	TRAJ21	TRAJ-F5
human	TRA	J	TRAJ3	TRAJ-F5
human	TRA	J	TRAJ42	TRAJ-F5
human	TRA	J	TRAJ43	TRAJ-F5
mouse	TRA	J	TRAJ17	TRAJ-F5
mouse	TRA	J	TRAJ26	TRAJ-F5
human	TRA	J	TRAJ15	TRAJ-F6
human	TRA	J	TRAJ56	TRAJ-F6
mouse	TRA	J	TRAJ2	TRAJ-F6
mouse	TRA	J	TRAJ42	TRAJ-F6
mouse	TRA	J	TRAJ57	TRAJ-F6
human	TRA	J	TRAJ17	TRAJ-F7
human	TRA	J	TRAJ39	TRAJ-F7
mouse	TRA	J	TRAJ21	TRAJ-F7
mouse	TRA	J	TRAJ22	TRAJ-F7
mouse	TRA	J	TRAJ23	TRAJ-F7
mouse	TRA	J	TRAJ39	TRAJ-F7
mouse	TRA	J	TRAJ43	TRAJ-F7
mouse	TRA	J	TRAJ48	TRAJ-F7
human	TRA	J	TRAJ18	TRAJ-F8
human	TRA	J	TRAJ22	TRAJ-F8
human	TRA	J	TRAJ36	TRAJ-F8
human	TRA	J	TRAJ48	TRAJ-F8
human	TRA	J	TRAJ49	TRAJ-F8
mouse	TRA	J	TRAJ27	TRAJ-F8
mouse	TRA	J	TRAJ31	TRAJ-F8
human	TRA	J	TRAJ20	TRAJ-F9
human	TRA	J	TRAJ47	TRAJ-F9
human	TRA	J	TRAJ9	TRAJ-F9
mouse	TRA	J	TRAJ28	TRAJ-F9
mouse	TRA	J	TRAJ30	TRAJ-F9
mouse	TRA	J	TRAJ50	TRAJ-F9
mouse	TRA	J	TRAJ56	TRAJ-F9
human	TRA	V	TRAV1-1	TRAV-F1
human	TRA	V	TRAV1-2	TRAV-F1
human	TRA	V	TRAV22	TRAV-F10
human	TRA	V	TRAV41	TRAV-F10
human	TRA	V	TRAV25	TRAV-F11
human	TRA	V	TRAV27	TRAV-F11
human	TRA	V	TRAV30	TRAV-F11
human	TRA	V	TRAV34	TRAV-F11
human	TRA	V	TRAV35	TRAV-F11
human	TRA	V	TRAV26-1	TRAV-F12
human	TRA	V	TRAV26-2	TRAV-F12
human	TRA	V	TRAV4	TRAV-F12
human	TRA	V	TRAV10	TRAV-F2
human	TRA	V	TRAV17	TRAV-F2
human	TRA	V	TRAV21	TRAV-F2
human	TRA	V	TRAV39	TRAV-F2
human	TRA	V	TRAV6	TRAV-F2
human	TRA	V	TRAV12-1	TRAV-F3
human	TRA	V	TRAV12-2	TRAV-F3
human	TRA	V	TRAV12-3	TRAV-F3
human	TRA	V	TRAV13-1	TRAV-F4
human	TRA	V	TRAV13-2	TRAV-F4
human	TRA	V	TRAV23/DV6	TRAV-F4
human	TRA	V	TRAV29/DV5	TRAV-F4
human	TRA	V	TRAV23DV6	TRAV-F4
human	TRA	V	TRAV29DV5	TRAV-F4
human	TRA	V	TRAV23-DV6	TRAV-F4
human	TRA	V	TRAV29-DV5	TRAV-F4
human	TRA	V	TRAV5	TRAV-F4
human	TRA	V	TRAV14/DV4	TRAV-F5
human	TRA	V	TRAV14DV4	TRAV-F5
human	TRA	V	TRAV14-DV4	TRAV-F5
human	TRA	V	TRAV19	TRAV-F5
human	TRA	V	TRAV38-1	TRAV-F5
human	TRA	V	TRAV38-2/DV8	TRAV-F5
human	TRA	V	TRAV38-2DV8	TRAV-F5
human	TRA	V	TRAV38-2-DV8	TRAV-F5
human	TRA	V	TRAV16	TRAV-F6
human	TRA	V	TRAV3	TRAV-F6
human	TRA	V	TRAV8-1	TRAV-F6
human	TRA	V	TRAV8-2	TRAV-F6
human	TRA	V	TRAV8-3	TRAV-F6
human	TRA	V	TRAV8-4	TRAV-F6
human	TRA	V	TRAV8-6	TRAV-F6
human	TRA	V	TRAV18	TRAV-F7
human	TRA	V	TRAV40	TRAV-F7
human	TRA	V	TRAV9-1	TRAV-F7
human	TRA	V	TRAV9-2	TRAV-F7
human	TRA	V	TRAV2	TRAV-F8
human	TRA	V	TRAV20	TRAV-F9
human	TRA	V	TRAV24	TRAV-F9
human	TRA	V	TRAV36/DV7	TRAV-F9
human	TRA	V	TRAV36DV7	TRAV-F9
human	TRA	V	TRAV36-DV7	TRAV-F9
human	TRA	V	TRAV7	TRAV-F9
mouse	TRA	V	TRAV1	TRAV-F1
mouse	TRA	V	TRAV16	TRAV-F10
mouse	TRA	V	TRAV16D/DV11	TRAV-F10
mouse	TRA	V	TRAV16DDV11	TRAV-F10
mouse	TRA	V	TRAV16D-DV11	TRAV-F10
mouse	TRA	V	TRAV16N	TRAV-F10
mouse	TRA	V	TRAV17	TRAV-F11
mouse	TRA	V	TRAV9-2	TRAV-F11
mouse	TRA	V	TRAV9-3	TRAV-F11
mouse	TRA	V	TRAV9-4	TRAV-F11
mouse	TRA	V	TRAV9D-2	TRAV-F11
mouse	TRA	V	TRAV9D-3	TRAV-F11
mouse	TRA	V	TRAV9D-4	TRAV-F11
mouse	TRA	V	TRAV9N-2	TRAV-F11
mouse	TRA	V	TRAV9N-3	TRAV-F11
mouse	TRA	V	TRAV9N-4	TRAV-F11
mouse	TRA	V	TRAV19	TRAV-F12
mouse	TRA	V	TRAV2	TRAV-F13
mouse	TRA	V	TRAV21/DV12	TRAV-F13
mouse	TRA	V	TRAV21DV12	TRAV-F13
mouse	TRA	V	TRAV21-DV12	TRAV-F13
mouse	TRA	V	TRAV3-1	TRAV-F14
mouse	TRA	V	TRAV3-3	TRAV-F14
mouse	TRA	V	TRAV3-4	TRAV-F14
mouse	TRA	V	TRAV3D-3	TRAV-F14
